"Longitude","Latitude","Block"
-119.023684852508,32.1373394442327,950
-117.566683912502,29.433483416132,910
-125.251181821742,41.7497989039333,138
-124.917840551033,41.9164737484987,106
-124.751171704978,41.9164857972608,105
-124.584502930428,41.9164772995555,104
-124.417827239629,41.9164788160724,103
-124.271221832698,41.918109095498,102
-123.917816108089,41.9164770404421,101
-124.917839793839,41.7498022828383,112
-124.751168730206,41.7498039121076,111
-124.584497588484,41.7498055558161,110
-124.417826506186,41.7498072589791,109
-124.264145190238,41.7389943227252,108
-124.155782966388,41.6972515636046,107
-124.917836729485,41.583137672671,119
-124.751165657542,41.583139294675,118
-124.584494560782,41.5831409719864,117
-124.417823470359,41.5831426864481,116
-124.251152401165,41.5831443270975,115
-124.132465036057,41.5707128790758,114
-125.251172793924,41.2498052869129,139
-124.022518422921,41.5049513289726,113
-124.917833767509,41.4164731636086,125
-124.751162657029,41.4164748187336,124
-124.584491550613,41.4164764336778,123
-124.417820551084,41.4164780720357,122
-124.251149415769,41.4164798345595,121
-124.118851676028,41.418051192774,120
-124.917830768201,41.2498085769603,131
-124.751159741249,41.2498103299919,130
-124.584488652717,41.2498119232514,129
-124.417817537912,41.2498135436485,128
-124.251146515678,41.2498152476844,127
-124.134521916609,41.2604198793167,126
-124.917827826769,41.0831441109018,137
-124.751156835378,41.0831458625254,136
-124.58448572847,41.08314747314,135
-124.417814646156,41.083149152423,134
-124.2511436168,41.0831508270706,133
-124.147918114146,41.0594545873895,132
-125.417834884124,40.7498104845985,240
-125.084495838275,40.9164781224993,207
-124.917824828862,40.9164797433966,206
-124.751153865957,40.9164814581233,205
-124.584482806248,40.9164831488721,204
-124.417811779447,40.9164848226145,203
-124.251701760111,40.9170249973067,202
-124.149259069689,40.9493891656309,201
-125.084492869817,40.7498137699005,215
-124.142539319299,40.8243698346967,208
-124.917821877122,40.7498154879815,214
-124.751150914591,40.7498170979178,213
-124.584479985592,40.7498187380449,212
-124.417808941484,40.7498204161073,211
-124.281512699771,40.7665764925284,210
-124.232999986498,40.7204480303169,209
-125.08448997416,40.583149520843,221
-124.917819013081,40.583151227328,220
-124.751148187826,40.5831527898536,219
-124.584477168256,40.5831545036524,218
-124.425509745317,40.5888420502709,217
-124.322128101081,40.6468757956148,216
-125.417826333279,40.2498179033295,241
-125.084487180921,40.4164853199639,226
-124.917816234861,40.4164869612694,225
-124.751145271492,40.4164886535929,224
-124.584474346499,40.4164903354075,223
-124.441348269161,40.4115748231171,222
-125.084484462639,40.2498212100056,232
-124.917813469789,40.2498228178935,231
-124.751142454225,40.2498244606533,230
-124.584471526651,40.2498261319821,229
-124.423107307523,40.2472221936388,228
-124.298936638869,40.1897070456739,227
-125.084481581042,40.0831570748012,239
-124.917810648855,40.0831587093181,238
-124.751139650968,40.0831603654969,237
-124.584468691257,40.0831620264699,236
-124.417797730116,40.0831636653274,235
-124.254455929139,40.0797011959836,234
-124.12022912775,40.0490004399312,233
-125.084475975662,39.7498290786418,280
-124.751136871601,39.9164963091344,247
-124.584465981617,39.9164979597676,246
-124.417795003701,39.9164995478526,245
-124.251123993249,39.9165012277835,244
-124.085045850209,39.9159084220312,243
-123.957734113731,39.8826749309312,242
-124.751134093685,39.7498322815083,254
-124.584463270178,39.7498339545942,253
-124.417792240267,39.7498356087969,252
-124.251121299267,39.7498371898017,251
-124.084450375796,39.7498387672785,250
-123.91951427562,39.7486097514569,249
-123.825068711546,39.7165138644282,248
-124.751131370308,39.5831683652075,261
-124.584460516641,39.5831699732172,260
-124.41778953206,39.5831716020633,259
-124.251118531671,39.5831732345385,258
-124.084447638202,39.5831748785807,257
-123.917776584316,39.5831764313366,256
-123.806849572623,39.5800263383777,255
-124.917797034976,39.249839089959,281
-124.584457852337,39.4165061158362,267
-124.417786834031,39.4165077514654,266
-124.2511158208,39.4165093405664,265
-124.084444954841,39.4165109543997,264
-123.917773978205,39.4165125143922,263
-123.822860024137,39.4336652391696,262
-124.584455189601,39.2498423307953,273
-124.417784249653,39.2498439125144,272
-124.251113261085,39.2498454856245,271
-124.084442372679,39.2498470676847,270
-123.917771381356,39.2498486424326,269
-123.802873070888,39.2772613304905,268
-124.584452491733,39.0831785000584,279
-124.417781592354,39.0831801080166,278
-124.251110667358,39.0831816984438,277
-124.084439753523,39.0831832216657,276
-123.917768798387,39.0831848721231,275
-123.770291250484,39.0775980701715,274
-124.751118167321,38.7498495602512,484
-124.417778960519,38.916516389726,406
-124.251108109438,38.916517912427,405
-124.08443712444,38.9165195127443,404
-123.917766128573,38.9165210568047,403
-123.765198485353,38.9097805629523,402
-123.655332569548,38.8484155675058,401
-124.417776425809,38.7498526466088,413
-124.25110551113,38.7498542721785,412
-124.084434558339,38.7498558588631,411
-123.917763627694,38.7498573815325,410
-123.751092726619,38.7498589329334,409
-123.595699941355,38.7365017128041,408
-123.470473173007,38.6927839245126,407
-124.417773834625,38.5831890878775,421
-124.251102932039,38.5831906360401,420
-124.084432056719,38.5831921657068,419
-123.917761201005,38.5831937529736,418
-123.751090227851,38.5831952913152,417
-123.584419165835,38.5831968751778,416
-123.38228990621,38.5727432451865,415
-123.298531897593,38.5231489778491,414
-124.417768742015,38.2498620006094,485
-124.084429490842,38.4165286143016,428
-123.917758558741,38.4165301520779,427
-123.751087626623,38.4165317660499,426
-123.584416621115,38.4165332497433,425
-123.417745656691,38.4165348268545,424
-123.252492814811,38.414948283161,423
-123.128305843635,38.3860153876567,422
-124.08442696577,38.2498650939101,437
-123.917756052329,38.249866648874,436
-123.751085164572,38.2498681669391,435
